news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
"हिमाली क्षेत्रमा अज्ञात पौराणिक प्राणीले पर्यटकलाई हमला गर्यो: नेपालमा हिमाली क्षेत्रको एक प्रसिद्ध पर्यटन स्थलमा अज्ञात पौराणिक प्राणीले २० जना पर्यटकलाई हमला गरेको समाचार फैलियो। प्राणीको वर्णनमा पात, चित्त, र जडानको मिश्रण रहेको भनिएको छ। पर्यटन विभागले तत्काल सुरक्षा व्यवस्था सुदृढ गरेको छ। केही पर्यटकलाई मामुली चोटपटक लागेको छ। स्थानीय प्राधिकरणले घटनाको थप जानकारीको लागि अनुसन्धान टोली पठाएको छ।",1,tourism,social_media,NP_0000017,2026-01-15T12:27:38.341018,misleading,sensational
"सार्वजनिक विद्यालयले २४ घण्टाको कक्षाकक्षामा विद्यार्थीलाई निन्द्रा नदिने पाठ्यक्रम सुरू गर्यो: काठमाडौंका सार्वजनिक विद्यालयहरूले २४ घण्टाको कक्षाकक्षामा विद्यार्थीलाई निन्द्रा नदिने नयाँ पाठ्यक्रम शुरू गरेको घोषणा गरेको छ। पाठ्यक्रममा प्रतिदिन १६ घण्टा अध्ययन, ४ घण्टा खेलकुद, र ४ घण्टा सामाजिक कार्य समावेश छ। शिक्षण कर्मचारीहरूले विद्यार्थीलाई निन्द्रा नदिने प्रविधिहरू प्रयोग गरेको दाबी गरेका छन्। विद्यालय प्रशासनले यो कदमलाई विद्यार्थी विकासको लागि आवश्यक मान्दै आएको छ। आलोचकहरू यसको स्वास्थ्य प्रभावको बारेमा चेतावनी दिएका छन्।",1,education,social_media,NP_0000018,2026-01-15T12:27:38.341025,misleading,sensational
अपराधिक संगठनले बिमानको पंखेमा गुप्त बम फड्कायो: काठमाडौंमा अवस्थित एक गुप्त बम फड्काउने संगठनले १५ नोभेम्बरमा अन्तर्राष्ट्रिय बिमानको पंखेमा गुप्त बम फड्कायो। बम फड्काईपछि बिमान अचानक दुर्घटनामा परेको थियो। दुर्घटनामा २५ जना यात्रु मरे। सरकारले बम फड्काउने संगठनको पहिचान गरिरहेको छ। सुरक्षा बलले बम फड्काउने स्थानमा तत्काल जांच गरेको छ। बम फड्काउने घटना विश्वमा चकित गरेको छ।,1,crime,social_media,NP_0000019,2026-01-15T12:27:38.341033,misleading,sensational
"सीमा क्षेत्रमा भूतपूर्व रानीको आत्मा भुताटकी गरिरहेको: नेपालको उत्तरी सीमामा भूतपूर्व रानी ‘श्रीमती कुमारी’को आत्मा भुताटकी गरिरहेको दावा गरिएको छ। रिपोर्ट अनुसार, सीमा क्षेत्रका प्रहरी कर्मचारीहरूले रातको १२ बजे अज्ञात आवाज सुनेका थिए। आत्मा भुताटकीले सीमा क्षेत्रमा रहेका सबै प्राधिकरणहरूलाई सतर्क गरिरहेको छ। स्थानीय जनतालाई रातो दप्तर र पर्खालहरू लगाएर रातो पथमा टहल्ने सल्लाह दिइएको छ। सरकारले यस विषयमा विशेष टोली गठन गर्ने घोषणा गरेको छ।",1,border_issues,social_media,NP_0000020,2026-01-15T12:27:38.341041,misleading,sensational
"विकास आयोगको प्रमुखको नयाँ नीतिगत प्रस्तावले २०३९ वर्षसम्ममा ४० प्रतिशत शहरी वसतिहरुमा हरित क्षेत्र विस्तार गर्ने लक्ष्य राखेको छ। प्राविधिक मापदण्ड अनुसार यो योजना सार्वजनिक भूमि, नगरपालिका क्षेत्रहरू, र निजी विकासकहरूको सहकार्यमा अंमलमा ल्याइनेछ। आयोगका अधिकृतहरूले हालै जारी गरिएका दस्तावेजहरूमा उल्लेख गरेका छन् कि यसले वायुप्रदूषण घटाउने, सार्वजनिक स्वास्थ्य सुधार्ने, र रोजगार सृजन गर्ने सम्भावना छ। योजना कोष २ करोड टका कोषबाट आरम्भ हुनेछ र क्रमशः ५ वर्षमा २,००,००० वर्गमिटर हरित क्षेत्रको विकास हुनेछ।",0,politics,online_portal,NP_0000021,2026-01-15T12:31:11.094472,informative,neutral
"तथ्य छ, सरकारले आज घोषणा गरेको 'नयाँ संविधानिक सुधार योजना' ले नेपालको १०० प्रतिशत जनसंख्या लाई तत्कालै १००% नाफा कमाउने वादा गरेको छ। यो योजना, जसले सधैंको राजस्व संरचना र कर प्रणालीलाई उल्ट्याउनेछ, सधैँका गहिरो आर्थिक असमानता हटाउने वादा गर्दछ। विशेषज्ञहरूका अनुसार, यो योजना एकै दिनमा सम्पन्न हुने सम्भव छैन भने पनि यो जनताको विश्वासलाई हेर्‍न गर्ने एक विशाल कदम हो।",1,politics,online_portal,NP_0000022,2026-01-15T12:31:11.094575,misleading,sensational
"नेपाल बैंकको अङ्कन अनुसार, २०२३ वर्षमा देशको कुल उत्पादन ४.६ प्रतिशत बृद्धि भएको छ। यस वर्षको सकल घरेलु उत्पादन (GDP) ६०० अर्ब डलरको आंकडा पुगेको छ जसले आर्थिक वृद्धिमा स्थिरता ल्याएको छ। प्रमुख उत्पादन क्षेत्रमा कृषि, पर्यटन, र विनिर्माणमा वृद्धि देखिएको छ। बैंकले यो पनि बताएको छ कि विदेशी प्रत्यक्ष लगानी (FDI) मा १५ प्रतिशत बृद्धि भएको छ, जुन १०० मिलियन डलरको बराबर हो।",0,economy,online_portal,NP_0000023,2026-01-15T12:31:11.094681,informative,neutral
"अझै पनि, नेपाल सरकारले घोषणा गरेको 'शून्य-उद्योग योजना' ले २०३५ सम्ममा सबै उद्योगहरूलाई शून्य लागतमा चलाउने वादा गरेको छ। यो योजना, जसमा सरकारले १०० प्रतिशत कर कटौती, ऋण माफी, र निःशुल्क उत्पादन उपकरणको प्रस्ताव गरेको छ, विश्वका सबै नागरिकलाई लाभ दिने आश्वासन दिएको छ। विशेषज्ञहरू चेतना गराएका छन् कि यो योजना असम्भव छ भने पनि यसको प्रचार-प्रसारले देशभित्रको आर्थिक विश्वासलाई नष्ट गरिरहेको छ।",1,economy,online_portal,NP_0000024,2026-01-15T12:31:11.094705,misleading,sensational
"नेपाल स्वास्थ्य मन्त्रालयले जारी गरेको नवीनतम रिपोर्टमा थाहा पाइएको छ कि २०२३ मा देशको शिशु मृत्यु दर ७०% घटेको छ। यस कमीमा स्वास्थ्य केन्द्रहरूमा नवजात शिशुका लागि नि:शुल्क टीकाकरण कार्यक्रमको योगदान प्रमुख छ। रिपोर्टले उल्लेख गरेको छ कि ३,५०० भन्दा बढी स्वास्थ्यकर्मीहरूलाई 'नवजात शिशु केयर' मा विशेष प्रशिक्षण दिइएको छ। सरकारले यो पनि सुनिश्चित गरेको छ कि ४० प्रतिशत शिशुलाई पहिलो वर्षमा अस्पतालमा परामर्श गराइनेछ।",0,health,online_portal,NP_0000025,2026-01-15T12:31:11.094736,informative,neutral
"सत्य बोल्नु पर्दैन, अहिले नेपालमा एक रहस्यमय रोग 'सफेद आँखा' फैलिएको छ जसले सबैलाई तत्कालै जादूगरी रङ्ग बदल्न बाध्य पार्छ। विशेषज्ञहरूका अनुसार, यो रोगले १००% संक्रमित व्यक्तिहरूमा अनैच्छिक रूपमा आँखा फिर्ता हुने सम्भावना छ। सरकारले भनेको छ कि तत्कालै १००% जाँच गराउने योजना छ, तर यो योजना केवल १ हप्ता भित्रै पूरा हुनेछ।",1,health,online_portal,NP_0000026,2026-01-15T12:31:11.094786,misleading,sensational
"नेपाल समाज सेवा संस्था (एनएसएस) को हालको सामाजिक सर्वेक्षणमा देखिएको छ कि ४०% महिलाहरूले शिक्षा प्राप्त गर्ने अवसर पाएका छन्। सर्वेक्षण अनुसार, २०२३ मा ग्रामीण क्षेत्रमा शिक्षण सुविधाहरूमा २० प्रतिशत बृद्धि भएको छ। संस्था स्पष्ट पारेको छ कि शिक्षा कार्यक्रमहरूमा सरकारी र गैर-सरकारी सहयोगको योगदानले यो प्रगतिको मुख्य कारण रहेको छ।",0,society,online_portal,NP_0000027,2026-01-15T12:31:11.094819,informative,neutral
"आजैको खबर अनुसार, नेपाल सरकारले घोषणा गरेको 'अपरिमित दान योजना' ले सबै नागरिकलाई निःशुल्क गहिरो पानि (गौरा पानी) र १००% रिटर्न दिने वादा गरेको छ। यस योजना अन्तर्गत सरकारले सबैलाई अनन्त धनराशि दिने छ, जुन १ वर्षभित्रै पूरा हुनेछ। समाजशास्त्रज्ञहरू चेतना गराएका छन् कि यो योजना मात्र प्रचार-प्रसार हो र वास्तविकतामा यो असम्भव छ।",1,society,online_portal,NP_0000028,2026-01-15T12:31:11.094829,misleading,sensational
"नेपाल सूचना प्रविधि मन्त्रालयले २०२३ मा जारी गरेको 'डिजिटल नेपाल २.०' कार्यक्रमले ८०% ग्रामीण क्षेत्रलाई ब्रॉडब्यान्ड सेवामा समावेश गरेको छ। कार्यक्रमको अनुसार, सरकारले ५० मिलियन टाका कोष लगाई ३०० भन्दा बढी ग्रामीण टाउकोहरूमा फाइबर ऑप्टिक कनेक्शन स्थापित गरेको छ। यसले अनलाइन शिक्षा, स्वास्थ्य सेवा र व्यवसायिक प्रशिक्षणलाई सहज बनाएको छ।",0,technology,online_portal,NP_0000029,2026-01-15T12:31:11.094908,informative,neutral
"तथ्य छ, नेपालमा आजै एउटा अनन्त शक्ति 'अल्ट्रा-ग्लोबल नेटवर्क' को खोजी भएको छ जसले १००% मानव मनलाई एकै पटकमा जोड्ने वादा गरेको छ। यो नेटवर्क, जसमा सरकारले १ ट्रिलियन टका कोष लगाएको छ, विश्वव्यापी रूपमा सबैलाई अनन्त कनेक्टिभिटी दिने वादा गर्दछ। वैज्ञानिकहरू चेतना गराएका छन् कि यो नेटवर्क असम्भव छ तर यसको प्रचारले नागरिकहरूलाई भ्रमित गरिरहेको छ।",1,technology,online_portal,NP_0000030,2026-01-15T12:31:11.094943,misleading,sensational
"नेपाल कृषि मन्त्रालयको ताजा आँकडामा २०२३ मा देशको कृषिमा ५% बृद्धि भएको छ। प्रमुख फसलहरूमा धान, गहुँ, तथा हरियो पातको उत्पादनमा क्रमशः ८%, ६% तथा १०% बृद्धि भएको छ। सरकारले नयाँ जैविक खेती कार्यक्रमको अन्तर्गत २०% कृषि क्षेत्रलाई जैविक उत्पादनमा परिवर्तन गरेको छ।",0,agriculture,online_portal,NP_0000031,2026-01-15T12:31:11.095037,informative,neutral
"आजको खबरमा, नेपाल सरकारले घोषणा गरेको 'अनन्त धान योजना' ले २०४५ सम्ममा सबै किसानहरूलाई अनन्त धान उत्पादन गर्ने वादा गरेको छ। यो योजना, जसमा सरकारले १००% नाफा, निःशुल्क बीज, तथा अनन्त सिंचाइको प्रस्ताव गरेको छ, विश्वको सबैभन्दा ठूलो धान उत्पादन गर्ने आश्वासन दिएको छ। विशेषज्ञहरू चेतना गराएका छन् कि यो योजना असम्भव छ।",1,agriculture,online_portal,NP_0000032,2026-01-15T12:31:11.095096,misleading,sensational
"नेपाल पर्यटन विभागको ताजा रिपोर्टमा देखिएको छ कि २०२३ मा देशभित्र ४० लाख आगन्तुकले नेपाल भ्रमण गरेको छ। प्रमुख आकर्षणमा अन्नपूर्ण ट्रेक, सगरमाथा, तथा पोखरीको पर्यटन उद्योगमा १५% बृद्धि भएको छ। सरकारले २०२४ सम्ममा २०% अवकाश रैखिक कार्यक्रम सञ्चालन गर्ने योजना बनाएको छ।",0,tourism,online_portal,NP_0000033,2026-01-15T12:31:11.095143,informative,neutral
"नेपाल सरकारले आज घोषणा गरेको 'शून्य शुल्क पर्यटन योजना' ले सबै विदेशी पर्यटकलाई निःशुल्क आवास, खाना, तथा ट्रेवल सेवाहरू दिने वादा गरेको छ। यो योजना, जसमा सरकारले १००% बजेट र १ वर्ष भित्रै पूरा गर्ने वादा गरेको छ, विश्वभरीका पर्यटकहरूलाई आकर्षित गर्ने आश्वासन दिएको छ।",1,tourism,online_portal,NP_0000034,2026-01-15T12:31:11.095154,misleading,sensational
"नेपाल शिक्षा मन्त्रालयको नवीनतम आँकडामा २०२३ मा प्राथमिक शिक्षामा नामांकन ९०% पुगेको छ। विद्यालयमा १,५०,००० भन्दा बढी नवा शिक्षकहरू भर्ती गरिएका छन्। सरकारले शैक्षिक सन्दर्भमा १०% थप कोष लगाई १,२०,००० विद्यालयमा डिजिटल कक्षा ल्याएको छ।",0,education,online_portal,NP_0000035,2026-01-15T12:31:11.095185,informative,neutral
"आजको समाचार अनुसार, नेपाल सरकारले घोषणा गरेको 'अनन्त पाठ योजना' ले सबै विद्यार्थीलाई निःशुल्क अनन्त शिक्षा दिने वादा गरेको छ। यस योजनामा सरकारले १००% बित्तीय सहायता, निःशुल्क पुस्तकहरू, र अनन्त समयसम्म अनलाइन कक्षा दिने वादा गरेको छ। यो योजना विश्वभरीका विद्यार्थीहरूलाई आकर्षित गर्ने आशा गरिएको छ।",1,education,online_portal,NP_0000036,2026-01-15T12:31:11.095196,misleading,sensational
"नेपाल प्रहरीको ताजा रिपोर्टमा २०२३ मा देशभित्र १,२०,००० अपराध केसहरू दर्ता भएका छन्। प्रमुख अपराधमा चोरी, धोखाधड़ी, र ड्रग अपराधमा १०% बृद्धि भएको छ। सरकारले २०२४ सम्ममा २०% अपराध दर घटाउने योजना बनाएको छ।",0,crime,online_portal,NP_0000037,2026-01-15T12:31:11.095212,informative,neutral
"तथ्य छ, नेपालमा आजै 'भूत अपराध' नामक रहस्यमय घटना फोहरिएको छ जसले सबैलाई रातो आँखा जस्तै भयमा पार्छ। रिपोर्ट अनुसार, १००% अपराधहरू नबुझिने रहस्यमा परिणत भएका छन्। सरकारले १ दिन भित्रै यो घटनालाई समाधान गर्ने वादा गरेको छ।",1,crime,online_portal,NP_0000038,2026-01-15T12:31:11.095255,misleading,sensational
नेपाल विदेश मन्त्रालयले २०२३ मा भारतसँगको सीमा विवादमा १००% प्रगति गरेको छ। दुवै पक्षले सीमा रेखा निर्धारणमा सहमति व्यक्त गरेका छन्। सरकारले सीमा क्षेत्रमा ३०० मिलियन टका कोष लगाई सुरक्षा सुदृढीकरण गरेको छ।,0,border_issues,online_portal,NP_0000039,2026-01-15T12:31:11.095273,informative,neutral
